trade,datetime_utc,symbol,buy_exchange,sell_exchange,buy_price,sell_price,qty,latency_cost,gross_pnl,net_pnl,cumulative_pnl
73,2026-02-17 14:40:00,ETH/USDT,C2C1,C2C2,1976.562866,1978.094604,26.80790710,21.2032,-1.3437,-8.9769,29760.2578
74,2026-02-23 01:03:00,BTC/USDT,C2C2,C2C1,66170.398438,66222.195312,0.80076027,21.2029,-0.9290,-8.5621,29751.6953
75,2026-02-23 01:03:00,ETH/USDT,C2C2,C2C1,1900.939941,1911.801025,27.87345505,21.2549,260.2263,252.5745,30004.2695
76,2026-03-01 13:53:00,BTC/USDT,C2C2,C2C1,67057.921875,67133.843750,0.79052609,21.2164,17.5854,9.9475,30014.2168
77,2026-03-04 14:37:00,BTC/USDT,C2C2,C2C1,71854.867188,71969.328125,0.73776525,21.2217,42.0019,34.3621,30048.5781
78,2026-03-08 22:37:00,ETH/USDT,C2C2,C2C1,1935.334106,1940.251099,27.39344406,21.2331,92.2271,84.5832,30133.1621
79,2026-03-18 11:32:00,BTC/USDT,C2C2,C2C1,73164.992188,73244.414062,0.72471720,21.2211,15.1162,7.4766,30140.6387
80,2026-03-23 11:14:00,BTC/USDT,C2C2,C2C1,71262.656250,71003.015625,0.74407381,21.1712,-235.5343,-243.1559,29897.4824
81,2026-05-13 14:01:00,ETH/USDT,C2C2,C2C1,2257.049072,2259.327637,23.48214722,21.2108,11.0839,3.4480,29900.9297

metric,value
trades_recorded,81
signals_fired,117
fill_rate_pct,69.23
net_pnl,29900.93
avg_per_trade,369.1473
win_rate_pct,80.25
leg_failures,16
sharpe_ratio,0.175
max_drawdown_pct,0.05
latency_penalty_bps,2
total_latency_cost,1683.4692
initial_balance,500000.00
final_balance,529900.93
